student_id,precision,recall,f1_score
565344,0.0,0.0,0.0
512839,0.0,0.0,0.0
616708,0.0,0.0,0.0
483997,0.0,0.0,0.0
253767,0.0,0.0,0.0
689228,0.0,0.0,0.0
571831,0.0,0.0,0.0
674657,0.0,0.0,0.0
2578676,0.0,0.0,0.0
1640680,0.0,0.0,0.0
609817,0.0,0.0,0.0
539775,0.0,0.0,0.0
601074,0.0,0.0,0.0
1947911,0.0,0.0,0.0
607735,0.0,0.0,0.0
1720448,0.0,0.0,0.0
656183,0.0,0.0,0.0
630948,0.0,0.0,0.0
596041,0.0,0.0,0.0
2523350,0.0,0.0,0.0
408413,0.0,0.0,0.0
643986,0.0,0.0,0.0
643659,0.0,0.0,0.0
508446,0.0,0.0,0.0
176092,0.0,0.0,0.0
595428,0.0,0.0,0.0
697492,0.0,0.0,0.0
1440341,0.0,0.0,0.0
606167,0.0,0.0,0.0
505002,0.0,0.0,0.0
2272874,0.0,0.0,0.0
2389837,0.0,0.0,0.0
634878,0.0,0.0,0.0
591589,0.0,0.0,0.0
654341,0.0,0.0,0.0
618744,0.0,0.0,0.0
568450,0.0,0.0,0.0
41489,0.0,0.0,0.0
526980,0.0,0.0,0.0
2210666,0.0,0.0,0.0
693380,0.0,0.0,0.0
591814,0.0,0.0,0.0
590325,0.0,0.0,0.0
628910,0.0,0.0,0.0
610461,0.0,0.0,0.0
599963,0.0,0.0,0.0
97939,0.0,0.0,0.0
534884,0.0,0.0,0.0
620889,0.0,0.0,0.0
496217,0.0,0.0,0.0
595421,0.0,0.0,0.0
649905,0.0,0.0,0.0
483309,0.0,0.0,0.0
494919,0.0,0.0,0.0
631981,0.0,0.0,0.0
586742,0.0,0.0,0.0
652226,0.0,0.0,0.0
132477,0.0,0.0,0.0
682819,0.0,0.0,0.0
677846,0.0,0.0,0.0
604906,0.0,0.0,0.0
596255,0.0,0.0,0.0
604692,0.0,0.0,0.0
544720,0.0,0.0,0.0
287526,0.0,0.0,0.0
680162,0.0,0.0,0.0
2254637,0.0,0.0,0.0
601963,0.0,0.0,0.0
2590948,0.0,0.0,0.0
2252765,0.0,0.0,0.0
596376,0.0,0.0,0.0
625574,0.0,0.0,0.0
566712,0.0,0.0,0.0
341457,0.0,0.0,0.0
526098,0.0,0.0,0.0
521292,0.0,0.0,0.0
379844,0.0,0.0,0.0
285934,0.0,0.0,0.0
620740,0.0,0.0,0.0
558250,0.2,0.05,0.08000000000000002
632989,0.0,0.0,0.0
2072671,0.0,0.0,0.0
593136,0.0,0.0,0.0
2678380,0.0,0.0,0.0
1064492,0.0,0.0,0.0
558123,0.0,0.0,0.0
633924,0.0,0.0,0.0
510759,0.0,0.0,0.0
628183,0.0,0.0,0.0
566670,0.0,0.0,0.0
2426332,0.0,0.0,0.0
652998,0.0,0.0,0.0
369986,0.0,0.0,0.0
624407,0.0,0.0,0.0
586652,0.0,0.0,0.0
575603,0.0,0.0,0.0
